"timestamp","user_id","session_id","event_name","string_props","numeric_props","os_name","os_version","locale","app_version","app_build_number","engine_name","engine_version","country_code","country_name","region_name"
"2026-03-31 22:57:28","7148E5134714252F","177499781357224131","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""ECLOPINTO"",""especie_ave"":""Galinha"",""usuario_premium"":""Sim""}","{""chocadeira_capacidade"":70,""dias_incubacao_definidos"":21,""ovos_inseridos"":70}","Android","16","pt-br","2.1.19","41","","","BR","Brazil","Paraíba"
"2026-03-31 22:04:31","7148E5134714252F","177499466264758272","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""CHOCAMAISTOP"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":50,""dias_incubacao_definidos"":21,""ovos_inseridos"":50}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 22:03:53","7148E5134714252F","177499462300201746","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""CHOCAMAISTOP"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":50,""dias_incubacao_definidos"":21,""ovos_inseridos"":50}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 22:01:33","7148E5134714252F","177499446695951655","scheduled_winback_notification","{}","{}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 22:01:28","7148E5134714252F","177499446695951655","started_purchase_flow","{}","{}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 21:20:01","0CF971C632512923","177499196654369897","permissao_notificacao_negada","{}","{}","Android","15","pt-br","2.1.17","39","","","BR","Brazil","Ceara"
"2026-03-31 21:19:57","0CF971C632512923","177499196654369897","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""XXXX"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":70,""dias_incubacao_definidos"":21,""ovos_inseridos"":70}","Android","15","pt-br","2.1.17","39","","","BR","Brazil","Ceara"
"2026-03-31 21:14:17","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:53","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Ceramic Heat Lamp 50W for Brooders"",""produto_url"":""https://s.shopee.com.br/8fNxQOoDQ8""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:37","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:24","AFCA8B6702ED045B","177499145609485141","started_purchase_flow","{}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:18","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Ceramic Heat Lamp 50W for Brooders"",""produto_url"":""https://s.shopee.com.br/8fNxQOoDQ8""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:09","AFCA8B6702ED045B","177499145609485141","clicou_restaurar_backup","{}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:13:04","AFCA8B6702ED045B","177499145609485141","clicou_gerar_relatorio","{}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:53","AFCA8B6702ED045B","177499145609485141","started_purchase_flow","{}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:52","70A19B24EAE41A40","177499143036016017","started_purchase_flow","{}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:48","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:44","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:37","70A19B24EAE41A40","177499143036016017","clicou_restaurar_backup","{}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:32","70A19B24EAE41A40","177499143036016017","clicou_gerar_relatorio","{}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:29","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:22","70A19B24EAE41A40","177499143036016017","started_purchase_flow","{}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:17","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:14","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:12:00","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:42","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:32","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:25","AFCA8B6702ED045B","177499145609485141","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-ca","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:17","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:07","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:11:01","70A19B24EAE41A40","177499143036016017","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-nz","2.1.18","40","","","US","United States",""
"2026-03-31 21:08:08","7EF2183997F69471","177499110077163922","clique_afiliado","{""idioma"":""en"",""produto_nome"":""STC-1000 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/900sxVQsz5""}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:08:05","7EF2183997F69471","177499110077163922","clique_afiliado","{""idioma"":""en"",""produto_nome"":""W3001 Digital Temperature Controller"",""produto_url"":""https://s.shopee.com.br/1LbMgoEHkl""}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:07:52","7EF2183997F69471","177499110077163922","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Digital Hygrometer Thermometer with Probe"",""produto_url"":""https://s.shopee.com.br/3B30rzpovR""}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:07:48","7EF2183997F69471","177499110077163922","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Ceramic Heat Lamp 50W for Brooders"",""produto_url"":""https://s.shopee.com.br/8fNxQOoDQ8""}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:06:58","7EF2183997F69471","177499110077163922","clique_afiliado","{""idioma"":""en"",""produto_nome"":""Ceramic Heat Lamp 50W for Brooders"",""produto_url"":""https://s.shopee.com.br/8fNxQOoDQ8""}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:06:11","7EF2183997F69471","177499110077163922","started_purchase_flow","{}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:06:01","7EF2183997F69471","177499110077163922","started_purchase_flow","{}","{}","Android","11","en-jm","2.1.18","40","","","US","United States",""
"2026-03-31 21:00:45","1B98F79E4516AFBB","177499074813746463","bateria_otimizacao_aceita","{}","{}","Android","16","pt-br","2.1.17","39","","","BR","Brazil","Para"
"2026-03-31 21:00:39","1B98F79E4516AFBB","177499074813746463","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""ECOCHOCADEIRAS"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":40,""dias_incubacao_definidos"":21,""ovos_inseridos"":23}","Android","16","pt-br","2.1.17","39","","","BR","Brazil","Para"
"2026-03-31 21:00:17","5B98EDB4F21D8760","177499075498271604","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""ECLOPINTO"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":120,""dias_incubacao_definidos"":21,""ovos_inseridos"":120}","Android","15","pt-br","2.1.17","39","","","BR","Brazil","Paraíba"
"2026-03-31 20:52:33","5EB03BD6714B4FDD","177499020830894625","bateria_otimizacao_aceita","{}","{}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 20:52:28","5EB03BD6714B4FDD","177499020830894625","iniciou_incubacao","{""anotacao"":""Sem Anota\u00E7\u00F5es"",""chocadeira_nome"":""PREMIUM ECOL\u00D3GICA"",""especie_ave"":""Galinha"",""usuario_premium"":""Nao""}","{""chocadeira_capacidade"":70,""dias_incubacao_definidos"":21,""ovos_inseridos"":70}","Android","16","pt-br","2.1.18","40","","","BR","Brazil","Paraíba"
"2026-03-31 20:22:45","5EB03BD6714B4FDD","177498849022093704","bateria_otimizacao_aceita","{}","{}","Android","16","pt-br","2.1.17","39","","","BR","Brazil","Paraíba"
