Data,"Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Todos os países / todas as regiões","Base de instalações (Todos os dispositivos, Dispositivos únicos, Por intervalo, Diária): Brasil",Observações
29 de jan. de 2026,88,88,
30 de jan. de 2026,85,85,
31 de jan. de 2026,87,87,
1 de fev. de 2026,90,90,
2 de fev. de 2026,82,82,
3 de fev. de 2026,86,86,
4 de fev. de 2026,83,83,Lançamento da versão: Início do lançamento de 30 (2.1.10) em 100%.
5 de fev. de 2026,85,85,
6 de fev. de 2026,79,79,
7 de fev. de 2026,84,84,
8 de fev. de 2026,83,83,
9 de fev. de 2026,91,91,
10 de fev. de 2026,89,89,
11 de fev. de 2026,87,87,
12 de fev. de 2026,95,95,
13 de fev. de 2026,93,93,
14 de fev. de 2026,98,98,
15 de fev. de 2026,98,98,
16 de fev. de 2026,101,101,
17 de fev. de 2026,113,113,
18 de fev. de 2026,109,109,
19 de fev. de 2026,115,115,
20 de fev. de 2026,115,115,
21 de fev. de 2026,113,113,
22 de fev. de 2026,114,114,
23 de fev. de 2026,115,115,
24 de fev. de 2026,119,119,
25 de fev. de 2026,125,125,
26 de fev. de 2026,130,130,
27 de fev. de 2026,131,131,
28 de fev. de 2026,133,133,
1 de mar. de 2026,134,134,
2 de mar. de 2026,131,131,
3 de mar. de 2026,129,129,
4 de mar. de 2026,131,131,
5 de mar. de 2026,149,149,
6 de mar. de 2026,149,149,
7 de mar. de 2026,154,154,
8 de mar. de 2026,151,151,
9 de mar. de 2026,155,155,
10 de mar. de 2026,156,156,
11 de mar. de 2026,160,160,
12 de mar. de 2026,163,163,
